borough;cuisine;name;restaurant_id;n_grades;latitude;longitude
Queens;Pizza;Emilia'S Pizzeria;50002844;1;40.7661407;-73.9150813
Bronx;American ;Madison Cafe;50003475;2;40.8142274;-73.919679
Queens;Pizza/Italian;Dino'S Pizza & Pasta;50004969;2;40.7569535;-73.9067018
Queens;American ;Secrets;50009155;0;40.664641;-73.734422
Brooklyn;Ice Cream, Gelato, Yogurt, Ices;Maxie Cafe;50009394;1;40.6019616;-74.00314089999999
Manhattan;Chinese;China Local Cuisine;50009575;3;40.7142098;-73.99488219999999
Manhattan;Chicken;Royal Fried Chicken Inc;50009759;1;40.720461;-73.9786361
Queens;Café/Coffee/Tea;Kung Fu Tea;50009810;1;40.720751;-73.8467768
Manhattan;Other;66Th Street Donuts Llc;50011464;0;40.7664957;-73.9653112
Queens;Pizza;Joe'S Pizza And Pasta Restaurant;50013258;1;40.6941235;-73.8500014
Queens;Ice Cream, Gelato, Yogurt, Ices;Red Mango;50013420;1;40.7620398;-73.76993039999999
Manhattan;American ;Chadbourne & Parke;50014249;1;40.5114481;-78.3969541
Brooklyn;Chinese;Emerald Fortune;50014469;1;40.6047805;-73.9785522
Queens;Moroccan;Atlas Mountain Sandwich Shop;50014623;1;40.771734;-73.926731
Queens;Japanese;A Sushi;50015505;1;40.7197721;-73.84376050000002
Brooklyn;Barbecue;Arrogant Swine;50016031;1;40.7100177;-73.9333297
Manhattan;Thai;Senn Thai Comfort Food;50016060;1;40.7850197;-73.977251
Manhattan;American ;Barcade;50016566;1;40.72911560000001;-73.98953929999999
Manhattan;Juice, Smoothies, Fruit Salads;Oasis Jimma Juice Bar;50017185;1;40.815009;-73.95929799999999
Manhattan;Bottled beverages, including water, sodas, juices, etc.;Organic Gemini;50017220;1;40.739143;-74.00702
Manhattan;American ;124 Coffee Shop;50017240;1;40.8049519;-73.9403658
Bronx;Other;Acapella Gourmet Pizza & Restaurant Corp;50017596;0;40.8835412;-73.8978475
Manhattan;Other;Ground-Central;50018380;0;40.749838;-73.97172789999999
Brooklyn;Other;;50018936;0;40.670792;-73.93065899999999
